trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-65.86007886941908,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-120.39740544013934,"{0: 9, 1: 0, 2: 9, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-102.15770021145133,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.754316690390902}",30,10,35.45666926967077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-45.10051106451227,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.754316690390902}",25,8,-45.69111482971,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-158.0727996790056,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-119.18635728862657,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.754316690390902}",25,10,-50.70695890788857,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-139.7819950480061,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.754316690390902}",20,12,-2.79330484131044,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.754316690390902}",30,0,-80.23804256626066,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.754316690390902}",35,9,-54.74803399446381,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.754316690390902}",25,13,-16.426408345517277,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-42.89075443777807,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-15.573160397375108,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.754316690390902}",25,12,10.105764959645478,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-33.80586987512257,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.754316690390902}",25,13,-19.972572791531704,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-141.61351399663494,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-89.17343377354466,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-40.97445702683658,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.754316690390902}",20,11,-14.126274688542209,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.754316690390902}",20,10,-22.093005056834528,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-91.39962745044576,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-64.03709367567093,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-86.49020354632789,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-43.28029511763441,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,9.397675490396953,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-10.54812961415026,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.754316690390902}",25,12,-28.962666651850203,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.754316690390902}",20,5,-75.97410101181107,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.754316690390902}",20,6,-16.977942638386235,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.754316690390902}",30,0,-169.63294596423546,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-51.445676106461136,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.754316690390902}",30,19,-15.275254259631165,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-86.38579672849015,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.754316690390902}",25,17,5.4817745197616485,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-80.94056136109914,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-91.85127188232973,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.754316690390902}",25,11,-49.30151532994369,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-72.2758499314804,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.754316690390902}",35,0,-103.20812683693542,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-101.23190436906386,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-118.39689705592797,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.754316690390902}",25,2,-67.93423374764977,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-228.89387261833713,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-35.88340821748285,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.754316690390902}",25,3,-162.05714477470858,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-51.427057341668004,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,6.026226651750782,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-24.460537632511716,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.754316690390902}",30,12,-11.509670365676316,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-69.93713561911403,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-68.06085561353801,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-67.45541419966513,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-29.96923429213299,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.754316690390902}",25,7,-86.6446653347238,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-111.2483788461293,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-146.86416844165907,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-116.06473556713544,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-60.210595110717534,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
